,carat,cut,color,clarity,depth,table,x,y,z,price,carat_bin
90,0.5,Ideal,F,VVS2,62.3,57.0,5.06,5.08,3.16,1850,Medium
91,0.54,Ideal,E,SI1,62.1,56.0,5.24,5.19,3.24,1637,Medium
92,0.4,Very Good,D,VVS2,59.4,61.0,4.77,4.82,2.85,977,Small
93,1.51,Very Good,H,SI1,61.7,61.0,7.3,7.35,4.52,9218,Extra Large
94,0.5,Very Good,E,VVS2,60.9,59.0,5.07,5.11,3.1,2003,Medium
95,0.33,Ideal,E,VS1,60.9,57.0,4.47,4.5,2.73,850,Small
96,0.9,Ideal,G,VVS1,61.6,57.0,6.24,6.16,3.82,5564,Large
97,0.72,Very Good,I,SI1,63.2,57.0,5.71,5.75,3.62,2345,Large
98,0.51,Ideal,G,VS2,61.8,55.0,5.15,5.18,3.19,1557,Medium
99,0.5,Good,G,SI1,63.9,57.0,5.02,5.06,3.22,1197,Medium
100,1.02,Fair,J,SI1,66.8,55.0,6.25,6.18,4.15,3027,Large
101,0.7,Fair,E,SI1,65.2,58.0,5.57,5.54,3.62,2318,Medium
102,1.69,Ideal,F,VS2,62.2,57.0,7.59,7.66,4.74,16789,Extra Large
103,1.3,Premium,G,VVS1,60.5,60.0,7.01,7.05,4.25,11061,Extra Large
104,0.31,Ideal,D,VS1,61.1,55.0,4.37,4.4,2.68,774,Small
105,1.22,Ideal,G,VS1,60.7,57.0,6.93,6.94,4.21,9002,Extra Large
106,1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924,Large
107,0.28,Very Good,G,SI1,62.0,55.0,4.2,4.25,2.62,382,Small
108,1.01,Good,E,SI1,64.3,59.0,6.31,6.34,4.07,4766,Large
109,0.41,Very Good,H,VVS2,62.0,56.0,4.77,4.81,2.97,873,Medium
110,0.55,Very Good,E,SI1,59.7,60.0,5.31,5.41,3.2,1559,Medium
111,1.39,Premium,G,VS2,62.0,56.0,7.18,7.14,4.44,8874,Extra Large
112,0.36,Very Good,H,SI2,61.2,55.0,4.59,4.62,2.81,475,Small
113,0.23,Very Good,E,VVS2,60.0,56.0,4.03,4.07,2.43,530,Small
114,1.37,Premium,G,VS2,61.6,59.0,7.11,7.04,4.36,7951,Extra Large
115,0.31,Ideal,E,VVS1,60.2,61.0,4.4,4.43,2.66,865,Small
116,0.81,Premium,F,SI1,61.9,59.0,5.97,5.95,3.69,3043,Large
117,1.0,Premium,F,SI1,62.323198380566794,59.0,6.4,6.36,4.0,5292,Large
118,0.31,Ideal,G,VVS1,61.2,56.0,4.38,4.34,2.67,1046,Small
119,2.02,Very Good,J,SI2,62.4,55.0,8.05,8.11,5.04,11757,Extra Large
120,0.34,Ideal,H,IF,61.7,56.0,4.5,4.51,2.78,863,Small
121,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,789,Small
122,1.68,Premium,F,SI1,60.7,62.0,7.72,7.66,4.67,12681,Extra Large
123,0.77,Ideal,E,SI2,60.7,55.0,6.01,5.95,3.63,2834,Large
124,2.8,Premium,I,SI2,61.1,59.0,9.03,8.98,5.5,15030,Extra Large
125,0.9,Premium,I,VS2,61.2,62.0,6.19,6.13,3.77,3338,Large
126,0.76,Very Good,E,SI1,63.0,59.0,5.76,5.8,3.64,2668,Large
127,0.55,Premium,G,SI2,60.3,58.0,5.35,5.33,3.22,1186,Medium
128,0.31,Fair,G,VVS2,65.5,58.0,4.25,4.24,2.78,629,Small
129,0.4,Premium,D,SI2,60.4,59.0,4.8,4.83,2.91,666,Small
130,1.56,Premium,G,VS2,61.9,58.0,7.44,7.4,4.59,13299,Extra Large
131,0.3,Ideal,G,VVS2,62.7,57.0,4.26,4.29,2.68,684,Small
132,0.31,Ideal,E,VS1,61.8,56.0,4.34,4.33,2.68,942,Small
133,0.31,Ideal,E,VVS1,61.3,56.0,4.38,4.4,2.69,1105,Small
134,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,526,Small
135,2.2,Ideal,G,SI2,59.9,57.0,8.54,8.49,5.1,14691,Extra Large
136,0.73,Very Good,E,VS1,62.1,60.0,5.71,5.79,3.57,3353,Large
137,0.9,Good,H,VS2,61.5,61.0,6.15,6.24,3.81,4156,Large
138,0.75,Ideal,F,VS2,62.1,57.0,5.8,5.82,3.61,3081,Large
139,0.5,Very Good,D,SI1,60.3,59.0,5.11,5.14,3.09,1415,Medium
140,0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1150,Small
141,0.41,Ideal,D,VVS2,62.3,57.0,4.76,4.74,2.96,1356,Medium
142,0.41,Premium,E,VS1,62.3,59.0,4.74,4.76,2.96,1079,Medium
143,0.36,Premium,J,SI1,61.3,60.0,4.59,4.52,2.79,541,Small
144,1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,17009,Extra Large
145,1.02,Premium,H,SI1,60.3,59.0,6.5,6.44,3.9,4558,Large
146,0.59,Very Good,F,SI1,61.7,57.0,5.39,5.43,3.34,1412,Medium
147,0.9,Very Good,D,VS2,63.0,62.0,6.06,6.13,3.84,4668,Large
148,1.11,Premium,E,SI2,61.67724399494312,61.0,6.66,6.61,4.09,4177,Extra Large
149,0.9,Very Good,F,SI1,62.5,62.0,6.08,6.11,3.81,3950,Large
150,0.92,Very Good,E,VS1,60.9,61.0,6.22,6.25,3.8,5453,Large
151,1.45,Very Good,J,VS2,62.8,57.0,7.14,7.17,4.49,6671,Extra Large
152,1.16,Ideal,I,VS2,61.5,57.0,6.78,6.75,4.16,5302,Extra Large
153,1.01,Premium,E,SI2,61.6,56.0,6.45,6.4,3.96,4751,Large
154,0.7,Ideal,D,VVS2,60.9,59.0,5.69,5.73,3.48,3737,Medium
155,0.32,Ideal,G,IF,61.4,55.0,4.42,4.44,2.72,898,Small
156,0.91,Very Good,G,SI2,60.0,57.0,6.27,6.32,3.78,3531,Large
157,0.58,Ideal,D,SI2,62.7,56.0,5.32,5.3,3.33,1442,Medium
158,0.51,Ideal,E,SI1,62.4,55.0,5.14,5.09,3.19,1443,Medium
159,0.31,Ideal,F,VS2,62.6,57.0,4.27,4.33,2.69,625,Small
160,0.97,Ideal,G,SI2,62.7,57.0,6.31,6.28,3.95,4101,Large
161,1.03,Ideal,J,SI2,62.4,56.0,6.44,6.48,4.03,4054,Large
162,0.3,Good,E,VVS2,59.8,64.0,4.34,4.29,2.58,814,Small
163,1.0,Very Good,F,VS2,62.14124951493985,55.0,6.39,6.44,3.99,6340,Large
164,0.5,Very Good,E,VS1,63.9,55.0,4.98,5.03,3.2,1604,Medium
165,0.59,Ideal,I,VVS1,61.2,56.0,5.42,5.46,3.33,2049,Medium
166,0.26,Very Good,E,VS2,60.4,58.0,4.15,4.19,2.52,452,Small
167,1.0,Good,D,VS1,64.0,58.0,6.27,6.21,3.99,6250,Large
168,0.9,Very Good,D,SI1,61.0,63.0,6.13,6.1,3.73,4304,Large
169,0.31,Ideal,D,SI1,62.0,55.0,4.36,4.38,2.71,571,Small
170,1.53,Very Good,F,SI1,58.5,59.0,7.55,7.62,4.44,11713,Extra Large
171,0.81,Ideal,F,SI1,61.9,57.0,5.98,6.01,3.71,2977,Large
172,0.32,Very Good,F,VS2,61.4,58.0,4.37,4.42,2.7,556,Small
173,0.7,Very Good,F,SI1,60.3,57.0,5.73,5.77,3.47,2343,Medium
174,1.0,Fair,F,VS2,68.3,58.0,5.98,5.95,4.08,4312,Large
175,0.34,Very Good,G,VS1,60.4,61.0,4.48,4.53,2.72,686,Small
176,0.71,Ideal,G,SI1,62.5,57.0,5.72,5.64,3.55,2215,Large
177,0.5,Fair,E,SI1,66.5,58.0,4.87,4.9,3.25,1098,Medium
178,0.32,Ideal,E,VVS2,62.0,54.0,4.41,4.43,2.74,790,Small
179,1.63,Ideal,I,SI1,61.3,56.0,7.64,7.56,4.66,9694,Extra Large
180,0.96,Ideal,F,VS1,61.2,56.0,6.34,6.38,3.89,5767,Large
181,1.24,Premium,H,SI2,61.2,57.0,7.02,6.87,4.25,5694,Extra Large
182,0.51,Very Good,H,VS1,62.3,57.0,5.1,5.12,3.18,1628,Medium
183,0.4,Good,H,VS2,63.1,62.0,4.75,4.66,2.97,717,Small
184,1.21,Very Good,I,SI1,63.3,60.0,6.76,6.69,4.26,4404,Extra Large
185,0.43,Ideal,E,SI1,61.99247422680412,56.0,4.82,4.79,3.01,975,Medium
186,0.72,Ideal,F,SI1,61.7,55.0,5.74,5.77,3.55,2470,Large
187,0.75,Very Good,I,SI1,63.7,56.0,5.73,5.77,3.66,2300,Large
188,0.42,Ideal,G,VVS2,60.6,56.0,4.86,4.88,2.95,933,Medium
189,0.9,Ideal,E,SI1,61.7,57.0,6.21,6.24,3.84,4940,Large
190,0.32,Ideal,D,VS2,61.7,54.0,4.38,4.43,2.72,758,Small
191,0.39,Premium,E,VS2,62.5,60.0,4.64,4.67,2.91,889,Small
192,1.01,Very Good,I,SI2,63.2,58.0,6.34,6.31,4.0,3309,Large
193,0.61,Ideal,F,VVS2,61.7,55.0,5.45,5.48,3.37,2833,Medium
194,0.54,Ideal,F,VVS2,61.8,55.0,5.27,5.25,3.25,2333,Medium
195,0.71,Ideal,E,VS2,62.0,55.0,5.72,5.77,3.56,3421,Large
196,1.01,Very Good,G,VS1,58.8,58.0,6.52,6.61,3.86,6777,Large
197,0.24,Ideal,F,VVS2,61.6,54.0,4.0,4.09,2.49,552,Small
198,0.24,Ideal,F,VVS1,61.8,55.0,4.0,4.03,2.48,678,Small
199,0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,1586,Medium
200,1.01,Good,E,SI2,63.7,55.0,6.38,6.31,4.05,4118,Large
201,0.9,Very Good,J,SI1,63.6,57.0,6.07,6.1,3.87,3225,Large
202,0.72,Ideal,G,SI2,61.5,55.0,5.79,5.82,3.57,2420,Large
203,0.7,Very Good,G,VS2,63.1,55.0,5.64,5.61,3.55,2657,Medium
204,2.01,Premium,G,SI2,59.4,58.0,8.19,8.15,4.85,15562,Extra Large
205,0.51,Very Good,G,VS2,62.4,62.0,5.07,5.09,3.17,1438,Medium
206,1.2,Premium,E,VS2,62.2,59.0,6.82,6.78,4.23,8602,Extra Large
207,1.24,Ideal,G,VS2,62.0,57.0,6.87,6.84,4.25,9188,Extra Large
208,1.26,Very Good,G,SI1,63.2,61.0,6.87,6.81,4.32,7000,Extra Large
209,0.33,Ideal,F,VS2,61.3,56.0,4.43,4.47,2.73,666,Small
210,0.58,Ideal,E,SI1,61.6,55.0,5.33,5.38,3.3,1636,Medium
211,0.41,Ideal,G,VS1,61.9,57.0,4.81,4.76,2.96,961,Medium
212,1.19,Ideal,G,VVS2,60.8,59.0,6.84,6.81,4.15,9524,Extra Large
213,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3445,Large
214,1.52,Premium,I,SI1,61.9,58.0,7.42,7.37,4.58,8631,Extra Large
215,1.5,Very Good,F,VS1,60.5,55.0,7.39,7.48,4.5,15585,Extra Large
216,1.22,Ideal,I,SI1,62.3,58.0,6.8,6.82,4.24,6398,Extra Large
217,0.3,Very Good,G,IF,62.9,58.0,4.21,4.25,2.66,895,Small
218,1.0,Very Good,E,VS1,63.0,56.0,6.39,6.41,4.03,7453,Large
219,0.24,Very Good,H,VVS2,61.4,57.0,4.02,4.04,2.47,449,Small
220,1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,6787,Large
221,1.7,Ideal,J,SI2,60.5,57.0,7.74,7.84,4.71,8505,Extra Large
222,0.55,Premium,E,VS2,61.4,57.0,5.29,5.27,3.24,1881,Medium
223,0.34,Very Good,E,SI1,60.3,57.0,4.53,4.56,2.74,596,Small
224,0.44,Ideal,D,VVS1,61.0,57.0,4.91,4.93,3.0,2290,Medium
225,0.79,Ideal,D,SI1,61.1,57.0,5.94,6.0,3.65,3209,Large
226,0.67,Good,F,VS1,59.8,60.3,5.62,5.69,3.38,2479,Medium
227,0.31,Premium,H,SI1,61.0,61.0,4.39,4.33,2.66,558,Small
228,1.22,Ideal,H,SI1,61.9,55.0,6.82,6.87,4.24,7870,Extra Large
229,1.5,Good,H,SI2,59.8,61.0,7.39,7.49,4.45,6798,Extra Large
230,0.9,Ideal,G,SI2,62.5,56.0,6.15,6.2,3.86,3521,Large
231,0.38,Ideal,F,VS2,62.2,54.0,4.64,4.66,2.89,870,Small
232,1.01,Ideal,G,VS1,61.8,57.0,6.45,6.4,3.97,6618,Large
233,0.3,Ideal,F,VVS2,61.7,56.0,4.32,4.34,2.67,694,Small
234,0.71,Good,E,SI2,58.8,63.0,5.75,5.88,3.42,2120,Large
235,1.21,Premium,H,IF,62.2,58.0,6.83,6.8,4.24,8446,Extra Large
236,1.0,Ideal,F,VS2,62.6,57.0,6.4,6.35,3.99,6804,Large
237,0.9,Very Good,D,SI2,60.3,63.0,6.12,6.22,3.72,3534,Large
238,0.91,Very Good,H,VS1,63.4,56.0,6.18,6.12,3.9,4224,Large
239,0.41,Ideal,D,VVS2,62.5,57.0,4.75,4.72,2.96,1181,Medium
240,0.39,Ideal,E,SI1,61.1,55.0,4.74,4.75,2.9,628,Small
241,1.28,Premium,H,SI2,60.2,58.0,7.13,7.03,4.26,6093,Extra Large
242,0.32,Very Good,G,VS2,60.9,58.0,4.42,4.45,2.7,564,Small
243,0.25,Good,D,VVS2,57.5,61.0,4.16,4.19,2.4,548,Small
244,1.01,Very Good,G,VVS1,61.8,59.0,6.47,6.41,3.98,8373,Large
245,0.31,Ideal,H,SI1,61.5,55.0,4.39,4.42,2.71,464,Small
246,0.9,Ideal,E,SI2,62.6,57.0,6.13,6.2,3.86,3808,Large
247,0.71,Ideal,I,SI1,62.2,55.0,5.7,5.75,3.56,2376,Large
248,0.44,Good,E,VS2,59.0,64.0,5.01,4.94,2.93,1001,Medium
249,0.33,Premium,I,VVS2,62.1,56.0,4.45,4.41,2.75,743,Small
250,0.56,Ideal,G,IF,62.0,56.0,5.3,5.32,3.29,2442,Medium
251,0.24,Very Good,E,VVS2,60.0,57.0,4.07,4.1,2.45,552,Small
252,0.36,Very Good,F,SI1,60.7,54.0,4.64,4.67,2.83,641,Small
253,0.41,Ideal,D,VS2,62.8,55.0,4.73,4.7,2.96,1076,Medium
254,0.31,Ideal,F,IF,62.2,55.0,4.35,4.38,2.71,921,Small
255,0.52,Very Good,G,VS1,62.3,58.0,5.14,5.17,3.21,1629,Medium
256,0.43,Ideal,D,SI1,61.6,56.0,4.86,4.82,2.98,1036,Medium
257,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,14344,Extra Large
258,0.41,Ideal,I,IF,61.72618565058776,57.0,4.78,4.81,2.93,953,Medium
259,0.59,Ideal,E,VS2,61.4,58.0,5.38,5.4,3.31,1657,Medium
260,0.4,Very Good,F,SI1,63.1,58.0,4.69,4.66,2.95,882,Small
261,0.71,Premium,D,VS2,58.7,61.0,5.88,5.85,3.44,2968,Large
262,1.09,Ideal,F,VVS2,62.5,55.0,6.6,6.52,4.1,9845,Extra Large
263,2.11,Premium,G,SI2,62.2,60.0,8.19,8.15,5.08,16336,Extra Large
264,0.34,Ideal,G,VVS1,60.5,55.0,4.53,4.56,2.75,844,Small
265,0.71,Very Good,E,SI2,62.2,58.0,5.68,5.73,3.55,2313,Large
266,0.43,Ideal,D,VS2,62.0,55.0,4.86,4.81,3.0,1129,Medium
267,0.38,Ideal,H,SI1,61.2,56.0,4.68,4.63,2.85,834,Small
268,1.17,Very Good,G,SI1,63.3,61.0,6.65,6.59,4.19,5025,Extra Large
269,1.22,Ideal,G,VS2,62.0,55.0,6.83,6.91,4.26,7923,Extra Large
270,0.5,Ideal,G,VVS1,62.2,54.0,5.1,5.13,3.18,1883,Medium
271,0.55,Ideal,F,VVS2,61.5,57.0,5.24,5.27,3.23,2294,Medium
272,0.41,Ideal,H,VVS2,62.0,56.0,4.74,4.78,2.95,899,Medium
273,0.82,Premium,G,SI2,62.3,58.0,5.96,5.98,3.72,2456,Large
274,0.39,Ideal,G,VS2,62.5,54.0,4.67,4.7,2.93,857,Small
275,0.53,Very Good,J,VS2,60.9,59.0,5.2,5.27,3.19,1023,Medium
276,0.51,Very Good,G,VVS2,61.7,58.0,5.13,5.18,3.18,1875,Medium
277,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,402,Small
278,0.36,Premium,E,VS2,61.3,60.0,4.59,4.54,2.8,1013,Small
279,0.46,Good,D,VS2,63.2,56.0,4.89,4.92,3.1,1205,Medium
280,0.7,Good,H,VVS1,62.7,56.0,5.6,5.66,3.53,2877,Medium
281,2.11,Premium,E,SI2,62.4,61.0,8.19,8.1,5.08,18034,Extra Large
282,0.7,Premium,E,SI1,59.7,60.0,5.81,5.79,3.46,2394,Medium
283,2.43,Ideal,I,SI2,62.3,59.0,8.54,8.61,5.34,17856,Extra Large
284,0.3,Ideal,E,VS2,61.3,57.0,4.33,4.29,2.64,844,Small
285,0.51,Very Good,G,VS1,62.7,56.0,5.08,5.13,3.2,1656,Medium
286,1.03,Premium,J,SI1,61.1,61.0,6.49,6.44,3.95,3749,Large
287,0.7,Very Good,F,VVS2,58.7,63.0,5.82,5.79,3.41,3234,Medium
288,0.41,Premium,E,VS1,59.9,58.0,4.83,4.88,2.91,1079,Medium
289,0.72,Ideal,F,SI1,61.8,57.0,5.68,5.74,3.53,2440,Large
290,0.77,Good,H,SI1,63.0,65.0,5.82,5.74,3.64,2393,Large
291,0.35,Ideal,I,VS1,60.9,57.0,4.59,4.54,2.78,709,Small
292,0.38,Ideal,D,VS1,62.5,56.0,4.64,4.67,2.91,1067,Small
293,0.31,Premium,G,VS1,62.1,58.0,4.31,4.35,2.69,625,Small
294,0.54,Ideal,G,VVS2,61.0,56.0,5.25,5.3,3.22,1985,Medium
295,0.32,Ideal,G,VVS2,61.6,55.0,4.4,4.43,2.72,708,Small
296,0.4,Ideal,D,SI1,61.8,55.0,4.74,4.78,2.94,772,Small
297,0.35,Ideal,F,VVS2,62.1,56.0,4.52,4.56,2.82,745,Small
298,0.31,Very Good,E,SI1,63.2,59.0,4.33,4.28,2.72,698,Small
299,1.65,Ideal,J,SI1,62.5,56.0,7.59,7.54,4.73,8334,Extra Large
300,1.69,Ideal,F,SI1,63.0,57.0,7.62,7.55,4.78,13872,Extra Large
301,0.33,Ideal,E,VS1,61.1,56.0,4.45,4.48,2.73,850,Small
302,0.52,Very Good,E,VS1,59.1,58.0,5.31,5.38,3.16,1875,Medium
303,0.35,Very Good,H,SI2,63.2,61.0,4.49,4.47,2.83,551,Small
304,0.42,Very Good,F,VS1,60.9,58.0,4.84,4.88,2.96,910,Medium
305,0.7,Good,F,SI1,64.1,56.0,5.63,5.6,3.6,2289,Medium
306,0.9,Very Good,I,VS2,63.4,57.0,6.07,6.1,3.86,3489,Large
307,0.71,Very Good,J,SI2,60.9,55.0,5.76,5.87,3.54,1986,Large
308,0.84,Good,G,VS1,63.6,57.0,5.98,5.93,3.79,3316,Large
309,0.54,Premium,D,SI1,62.6,57.0,5.21,5.12,3.23,1650,Medium
310,0.7,Ideal,H,SI2,59.9,57.0,5.77,5.74,3.45,2142,Medium
311,0.57,Ideal,F,VVS1,62.5,56.0,5.27,5.32,3.31,2682,Medium
312,0.56,Ideal,I,VS2,62.1,54.0,5.3,5.33,3.3,1237,Medium
313,0.71,Premium,F,VS1,62.067652582159624,58.0,5.71,5.67,3.57,2879,Large
314,0.59,Ideal,H,VS2,62.2,59.0,5.38,5.34,3.33,1648,Medium
315,0.41,Ideal,G,SI2,61.3,56.0,4.78,4.81,2.94,605,Medium
316,1.04,Ideal,D,IF,61.8,57.0,6.49,6.52,4.02,14494,Large
317,0.38,Premium,F,VS2,60.9,56.0,4.72,4.67,2.86,1026,Small
318,0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,4579,Large
319,0.73,Ideal,E,VS2,62.4,57.0,5.75,5.79,3.6,3201,Large
