,carat,cut,color,clarity,depth,table,price
113,0.23,3,6,8,60.0,56.0,530
114,1.37,4,4,6,61.6,59.0,7951
115,0.31,5,6,9,60.2,61.0,865
116,0.81,4,5,5,61.9,59.0,3043
117,1.0,4,5,5,62.3231983805668,59.0,5292
118,0.31,5,4,9,61.2,56.0,1046
119,2.02,3,1,4,62.4,55.0,11757
120,0.34,5,3,10,61.7,56.0,863
121,0.3,5,4,9,61.3,56.0,789
122,1.68,4,5,5,60.7,62.0,12681
123,0.77,5,6,4,60.7,55.0,2834
124,2.8,4,2,4,61.1,59.0,15030
125,0.9,4,2,6,61.2,62.0,3338
126,0.76,3,6,5,63.0,59.0,2668
127,0.55,4,4,4,60.3,58.0,1186
128,0.31,1,4,8,65.5,58.0,629
129,0.4,4,7,4,60.4,59.0,666
130,1.56,4,4,6,61.9,58.0,13299
131,0.3,5,4,8,62.7,57.0,684
132,0.31,5,6,7,61.8,56.0,942
133,0.31,5,6,9,61.3,56.0,1105
134,0.3,5,3,7,61.6,55.0,526
135,2.2,5,4,4,59.9,57.0,14691
136,0.73,3,6,7,62.1,60.0,3353
137,0.9,2,3,6,61.5,61.0,4156
138,0.75,5,5,6,62.1,57.0,3081
139,0.5,3,7,5,60.3,59.0,1415
140,0.4,5,6,6,61.4,57.0,1150
141,0.41,5,7,8,62.3,57.0,1356
142,0.41,4,6,7,62.3,59.0,1079
143,0.36,4,1,5,61.3,60.0,541
144,1.71,5,4,7,63.0,56.0,17009
145,1.02,4,3,5,60.3,59.0,4558
146,0.59,3,5,5,61.7,57.0,1412
147,0.9,3,7,6,63.0,62.0,4668
148,1.11,4,6,4,61.67724399494312,61.0,4177
149,0.9,3,5,5,62.5,62.0,3950
150,0.92,3,6,7,60.9,61.0,5453
151,1.45,3,1,6,62.8,57.0,6671
152,1.16,5,2,6,61.5,57.0,5302
153,1.01,4,6,4,61.6,56.0,4751
154,0.7,5,7,8,60.9,59.0,3737
155,0.32,5,4,10,61.4,55.0,898
156,0.91,3,4,4,60.0,57.0,3531
157,0.58,5,7,4,62.7,56.0,1442
158,0.51,5,6,5,62.4,55.0,1443
159,0.31,5,5,6,62.6,57.0,625
160,0.97,5,4,4,62.7,57.0,4101
161,1.03,5,1,4,62.4,56.0,4054
162,0.3,2,6,8,59.8,64.0,814
163,1.0,3,5,6,62.14124951493985,55.0,6340
164,0.5,3,6,7,63.9,55.0,1604
165,0.59,5,2,9,61.2,56.0,2049
166,0.26,3,6,6,60.4,58.0,452
167,1.0,2,7,7,64.0,58.0,6250
168,0.9,3,7,5,61.0,63.0,4304
169,0.31,5,7,5,62.0,55.0,571
170,1.53,3,5,5,58.5,59.0,11713
171,0.81,5,5,5,61.9,57.0,2977
172,0.32,3,5,6,61.4,58.0,556
173,0.7,3,5,5,60.3,57.0,2343
174,1.0,1,5,6,68.3,58.0,4312
175,0.34,3,4,7,60.4,61.0,686
176,0.71,5,4,5,62.5,57.0,2215
177,0.5,1,6,5,66.5,58.0,1098
178,0.32,5,6,8,62.0,54.0,790
179,1.63,5,2,5,61.3,56.0,9694
180,0.96,5,5,7,61.2,56.0,5767
181,1.24,4,3,4,61.2,57.0,5694
182,0.51,3,3,7,62.3,57.0,1628
183,0.4,2,3,6,63.1,62.0,717
184,1.21,3,2,5,63.3,60.0,4404
185,0.43,5,6,5,61.99247422680412,56.0,975
186,0.72,5,5,5,61.7,55.0,2470
187,0.75,3,2,5,63.7,56.0,2300
188,0.42,5,4,8,60.6,56.0,933
189,0.9,5,6,5,61.7,57.0,4940
190,0.32,5,7,6,61.7,54.0,758
191,0.39,4,6,6,62.5,60.0,889
192,1.01,3,2,4,63.2,58.0,3309
193,0.61,5,5,8,61.7,55.0,2833
194,0.54,5,5,8,61.8,55.0,2333
195,0.71,5,6,6,62.0,55.0,3421
196,1.01,3,4,7,58.8,58.0,6777
197,0.24,5,5,8,61.6,54.0,552
198,0.24,5,5,9,61.8,55.0,678
199,0.58,4,5,6,62.2,55.0,1586
200,1.01,2,6,4,63.7,55.0,4118
201,0.9,3,1,5,63.6,57.0,3225
202,0.72,5,4,4,61.5,55.0,2420
203,0.7,3,4,6,63.1,55.0,2657
204,2.01,4,4,4,59.4,58.0,15562
205,0.51,3,4,6,62.4,62.0,1438
206,1.2,4,6,6,62.2,59.0,8602
207,1.24,5,4,6,62.0,57.0,9188
208,1.26,3,4,5,63.2,61.0,7000
209,0.33,5,5,6,61.3,56.0,666
210,0.58,5,6,5,61.6,55.0,1636
211,0.41,5,4,7,61.9,57.0,961
212,1.19,5,4,8,60.8,59.0,9524
213,0.9,3,4,4,61.1,55.0,3445
214,1.52,4,2,5,61.9,58.0,8631
215,1.5,3,5,7,60.5,55.0,15585
216,1.22,5,2,5,62.3,58.0,6398
217,0.3,3,4,10,62.9,58.0,895
218,1.0,3,6,7,63.0,56.0,7453
219,0.24,3,3,8,61.4,57.0,449
220,1.01,3,6,6,63.4,60.0,6787
221,1.7,5,1,4,60.5,57.0,8505
222,0.55,4,6,6,61.4,57.0,1881
223,0.34,3,6,5,60.3,57.0,596
224,0.44,5,7,9,61.0,57.0,2290
225,0.79,5,7,5,61.1,57.0,3209
226,0.67,2,5,7,59.8,60.3,2479
227,0.31,4,3,5,61.0,61.0,558
228,1.22,5,3,5,61.9,55.0,7870
229,1.5,2,3,4,59.8,61.0,6798
230,0.9,5,4,4,62.5,56.0,3521
231,0.38,5,5,6,62.2,54.0,870
232,1.01,5,4,7,61.8,57.0,6618
233,0.3,5,5,8,61.7,56.0,694
234,0.71,2,6,4,58.8,63.0,2120
235,1.21,4,3,10,62.2,58.0,8446
236,1.0,5,5,6,62.6,57.0,6804
237,0.9,3,7,4,60.3,63.0,3534
238,0.91,3,3,7,63.4,56.0,4224
239,0.41,5,7,8,62.5,57.0,1181
240,0.39,5,6,5,61.1,55.0,628
241,1.28,4,3,4,60.2,58.0,6093
242,0.32,3,4,6,60.9,58.0,564
243,0.25,2,7,8,57.5,61.0,548
244,1.01,3,4,9,61.8,59.0,8373
245,0.31,5,3,5,61.5,55.0,464
246,0.9,5,6,4,62.6,57.0,3808
247,0.71,5,2,5,62.2,55.0,2376
248,0.44,2,6,6,59.0,64.0,1001
249,0.33,4,2,8,62.1,56.0,743
250,0.56,5,4,10,62.0,56.0,2442
251,0.24,3,6,8,60.0,57.0,552
252,0.36,3,5,5,60.7,54.0,641
253,0.41,5,7,6,62.8,55.0,1076
254,0.31,5,5,10,62.2,55.0,921
255,0.52,3,4,7,62.3,58.0,1629
256,0.43,5,7,5,61.6,56.0,1036
257,1.53,4,4,7,61.0,60.0,14344
258,0.41,5,2,10,61.72618565058776,57.0,953
259,0.59,5,6,6,61.4,58.0,1657
260,0.4,3,5,5,63.1,58.0,882
261,0.71,4,7,6,58.7,61.0,2968
262,1.09,5,5,8,62.5,55.0,9845
263,2.11,4,4,4,62.2,60.0,16336
264,0.34,5,4,9,60.5,55.0,844
265,0.71,3,6,4,62.2,58.0,2313
266,0.43,5,7,6,62.0,55.0,1129
267,0.38,5,3,5,61.2,56.0,834
268,1.17,3,4,5,63.3,61.0,5025
269,1.22,5,4,6,62.0,55.0,7923
270,0.5,5,4,9,62.2,54.0,1883
271,0.55,5,5,8,61.5,57.0,2294
272,0.41,5,3,8,62.0,56.0,899
273,0.82,4,4,4,62.3,58.0,2456
274,0.39,5,4,6,62.5,54.0,857
275,0.53,3,1,6,60.9,59.0,1023
276,0.51,3,4,8,61.7,58.0,1875
277,0.23,3,5,7,59.8,57.0,402
278,0.36,4,6,6,61.3,60.0,1013
279,0.46,2,7,6,63.2,56.0,1205
280,0.7,2,3,9,62.7,56.0,2877
281,2.11,4,6,4,62.4,61.0,18034
282,0.7,4,6,5,59.7,60.0,2394
283,2.43,5,2,4,62.3,59.0,17856
284,0.3,5,6,6,61.3,57.0,844
285,0.51,3,4,7,62.7,56.0,1656
286,1.03,4,1,5,61.1,61.0,3749
287,0.7,3,5,8,58.7,63.0,3234
288,0.41,4,6,7,59.9,58.0,1079
289,0.72,5,5,5,61.8,57.0,2440
290,0.77,2,3,5,63.0,65.0,2393
291,0.35,5,2,7,60.9,57.0,709
292,0.38,5,7,7,62.5,56.0,1067
293,0.31,4,4,7,62.1,58.0,625
294,0.54,5,4,8,61.0,56.0,1985
295,0.32,5,4,8,61.6,55.0,708
296,0.4,5,7,5,61.8,55.0,772
297,0.35,5,5,8,62.1,56.0,745
298,0.31,3,6,5,63.2,59.0,698
299,1.65,5,1,5,62.5,56.0,8334
300,1.69,5,5,5,63.0,57.0,13872
301,0.33,5,6,7,61.1,56.0,850
302,0.52,3,6,7,59.1,58.0,1875
303,0.35,3,3,4,63.2,61.0,551
304,0.42,3,5,7,60.9,58.0,910
305,0.7,2,5,5,64.1,56.0,2289
306,0.9,3,2,6,63.4,57.0,3489
307,0.71,3,1,4,60.9,55.0,1986
308,0.84,2,4,7,63.6,57.0,3316
309,0.54,4,7,5,62.6,57.0,1650
310,0.7,5,3,4,59.9,57.0,2142
311,0.57,5,5,9,62.5,56.0,2682
312,0.56,5,2,6,62.1,54.0,1237
313,0.71,4,5,7,62.06765258215962,58.0,2879
314,0.59,5,3,6,62.2,59.0,1648
315,0.41,5,4,4,61.3,56.0,605
316,1.04,5,7,10,61.8,57.0,14494
317,0.38,4,5,6,60.9,56.0,1026
318,0.9,3,7,5,62.5,59.0,4579
319,0.73,5,6,6,62.4,57.0,3201
320,0.3,2,3,5,63.4,60.0,432
321,0.71,5,7,8,61.6,56.0,4222
322,0.7,2,3,6,63.8,60.0,2083
323,0.32,5,1,10,62.2,56.0,533
324,1.74,5,7,4,64.5,56.0,12361
325,0.57,5,7,6,61.8,56.0,1998
326,1.11,4,6,4,62.5,58.0,4664
327,0.34,4,4,6,60.3,58.0,596
328,0.8,3,6,7,62.4,54.0,4495
329,1.83,4,2,5,62.9,55.0,11883
330,0.9,4,4,3,61.3,59.0,1777
331,0.7,5,3,6,62.4,58.0,2429
332,0.32,5,6,8,61.3,55.0,1010
333,1.51,4,4,5,61.6,59.0,10739
334,1.5,1,4,6,64.4,56.0,12787
335,0.23,3,6,9,61.8,59.0,530
336,1.52,4,7,4,60.6,62.0,9561
337,1.25,4,1,4,61.5,57.0,4690
338,0.52,3,5,6,63.9,57.0,1550
339,1.02,4,4,4,62.9,59.0,4370
340,1.16,4,4,7,61.9,58.0,8107
341,0.42,4,7,6,61.3,58.0,825
342,0.42,5,7,5,61.5,56.0,1040
343,2.01,3,3,5,63.5,57.0,14725
344,1.15,5,3,3,62.0,55.0,3606
345,0.7,5,4,7,60.6,57.0,3384
346,0.42,5,4,6,61.6,56.0,847
347,1.5,4,3,5,62.4,58.0,9697
348,0.44,2,1,7,63.1,57.0,694
349,1.7,4,2,6,61.7,59.0,11257
350,0.96,1,5,4,65.2,58.0,3688
351,1.02,3,3,6,62.5,56.0,5217
352,0.7,3,6,5,61.7,62.0,2569
353,1.01,2,4,5,60.7,59.0,4672
354,0.6,4,7,5,62.9,58.0,1799
355,0.9,3,4,6,61.5,60.0,4386
356,1.13,3,6,5,62.7,57.0,4922
357,0.91,4,3,6,60.6,58.0,4293
358,0.31,5,6,10,61.9,56.0,1060
359,1.02,3,5,4,58.7,63.0,3875
360,1.51,3,6,4,62.8,59.0,9058
361,1.06,3,4,3,60.7,63.0,2080
362,1.51,4,7,5,62.2,59.0,10122
363,1.24,5,2,5,61.1,60.0,5976
364,0.73,5,4,6,62.5,56.0,2586
365,0.41,5,7,6,61.7,56.0,1076
366,0.29,3,2,6,61.87940256045518,55.0,384
367,0.53,5,1,4,61.9,54.0,856
368,1.5,4,6,4,61.5,60.0,7182
369,0.3,2,5,10,60.0,63.0,742
370,0.32,5,6,6,62.3,54.0,900
371,0.81,4,3,4,60.0,59.0,2344
372,0.27,4,6,9,60.6,58.0,799
373,1.39,5,1,6,60.9,57.0,6831
374,0.33,3,5,8,61.6,57.0,801
375,0.32,5,2,7,62.4,54.0,523
376,0.9,5,5,4,61.8,56.0,4593
377,0.31,2,4,6,63.1,58.0,544
378,0.4,4,6,7,60.1,58.0,1125
379,0.32,3,3,9,61.2,57.0,672
380,1.22,5,5,9,61.2,57.0,13029
381,0.38,5,6,8,62.0,57.0,1030
382,0.71,3,7,8,62.3,60.0,3799
383,0.71,3,4,4,63.2,59.0,2107
384,1.05,3,4,5,61.6,57.0,5197
385,1.04,5,5,5,61.3,56.0,5882
386,0.71,5,5,7,61.1,57.0,3013
387,0.42,5,6,5,62.1,55.0,953
388,0.44,5,7,7,61.1,56.0,1294
389,0.41,3,5,5,63.4,58.0,852
390,0.5,5,3,7,61.1,56.0,1637
391,0.58,5,6,6,61.8,57.0,1903
392,0.3,5,6,8,61.8,56.0,1013
393,1.18,3,4,6,62.7,54.7,8411
394,0.91,5,3,5,62.0,56.0,4337
395,1.2,5,5,9,61.1,55.0,13088
396,0.33,4,5,4,62.3,58.0,557
397,0.34,5,5,9,61.7,55.0,959
398,0.32,4,4,6,62.3,58.0,720
399,0.38,3,6,4,62.5,61.0,590
400,0.26,3,6,8,61.4,57.0,506
401,0.52,3,4,5,61.7,57.0,1311
402,2.0,2,1,3,63.6,62.0,6521
403,0.76,5,6,6,61.6,56.0,3864
404,1.09,5,4,5,62.2,56.0,4970
405,0.25,2,7,7,57.6,60.0,399
406,0.71,2,6,6,62.8,60.0,2836
407,0.41,1,7,8,64.5,57.0,1089
408,2.27,4,1,7,62.4,58.0,17149
409,1.01,4,4,8,63.0,61.0,7665
410,0.75,3,6,5,62.9,57.0,2753
411,0.72,4,1,5,62.1,59.0,1987
412,2.36,5,3,4,62.2,55.0,17569
413,1.01,5,4,6,62.7,54.0,6937
414,1.03,3,5,4,61.1,59.0,4218
415,0.7,3,6,5,61.2,57.0,2753
416,0.3,4,4,6,61.6,60.0,675
417,1.51,5,5,6,62.2,53.0,13771
418,0.3,4,5,7,60.5,60.0,658
419,0.71,5,2,9,62.3,56.0,2606
420,0.36,5,7,6,61.3,55.0,928
421,0.9,5,4,4,62.372486772486766,56.0,3500
422,0.35,4,1,7,62.4,58.0,949
423,0.7,3,3,5,62.6,57.0,1830
424,1.0,4,2,5,62.2,62.0,3360
425,0.3,5,4,5,62.2,57.0,477
426,0.9,2,2,4,60.9,63.0,2680
427,1.02,1,7,5,70.6,57.0,4398
428,0.26,3,2,5,59.2,60.0,445
429,0.33,5,7,7,61.7,55.0,1007
430,0.51,2,7,4,63.9,55.0,1268
431,1.2,5,3,6,59.9,57.0,6487
432,0.25,3,5,9,62.2,56.0,633
433,0.51,2,5,5,63.6,56.0,1312
434,0.9,2,2,8,62.9,61.0,3946
435,1.07,3,7,5,61.8,61.0,5767
436,0.3,5,6,4,62.1,54.0,401
437,2.01,4,1,6,60.5,60.0,13400
438,1.04,4,5,8,59.2,58.0,8722
439,2.01,3,1,5,59.3,62.0,12257
440,0.71,3,3,5,62.146407970634506,57.0,2207
441,0.5,3,7,6,63.8,56.0,1580
442,0.59,4,6,5,61.8,60.0,1789
443,1.0,5,7,5,60.2,57.0,4774
444,0.31,5,7,6,61.8,57.0,942
445,0.7,2,5,7,59.4,62.0,2759
446,0.51,3,3,7,60.7,56.0,1628
447,1.52,4,3,4,62.6,60.0,6086
448,0.91,3,6,4,62.8,61.0,3703
449,0.95,4,4,4,59.7,61.0,3830
450,0.7,3,7,5,62.6,57.0,2726
451,0.53,4,6,5,61.8,60.0,2099
452,1.71,4,4,5,60.6,58.0,13666
453,0.93,4,4,7,62.1,59.0,4793
454,0.61,5,6,6,61.3,55.0,2373
455,1.01,4,4,5,61.5,59.0,5006
456,1.01,5,4,5,62.3,57.0,4694
457,0.7,5,6,7,60.5,56.0,3419
458,2.48,5,2,4,62.3,57.0,12883
459,1.04,4,6,4,62.4,57.0,4892
460,1.06,5,3,5,60.8,54.0,4602
461,0.44,3,6,5,62.9,58.0,810
462,0.9,3,3,6,62.6,59.0,5502
463,1.52,5,3,7,60.1,60.0,11946
464,0.31,5,3,9,62.6,53.0,687
465,1.13,3,3,5,60.1,60.0,4959
466,0.91,2,7,4,64.1,62.0,3349
467,0.53,2,4,5,63.8,56.0,1268
468,0.31,5,6,7,62.1,54.2,726
469,1.28,5,3,4,61.8,57.0,5676
470,1.51,5,4,7,61.9,57.0,14674
471,0.41,4,5,8,61.0,59.0,1192
472,0.28,5,5,6,61.8,54.0,490
473,1.23,4,3,6,59.3,58.0,5979
474,0.36,5,3,10,61.9,57.0,1013
475,2.03,3,2,7,63.2,60.0,15086
476,0.55,5,6,5,60.9,56.0,1556
477,0.92,3,5,5,62.2,55.0,4621
478,1.7,3,2,5,63.1,57.0,10341
479,0.58,5,5,8,61.8,56.0,2395
480,0.31,5,5,8,62.4,55.0,761
481,1.27,5,4,9,61.7,56.0,10805
482,1.27,4,2,5,62.3,56.0,5547
483,1.11,5,1,6,61.7,54.0,5051
484,1.52,4,6,5,62.5,59.0,12418
485,0.93,5,2,5,62.5,55.0,3856
486,0.31,5,4,8,62.1,56.0,707
487,0.83,3,7,10,59.7,53.0,7889
488,1.22,4,3,5,60.6,60.0,6387
489,0.32,5,6,6,62.3,56.0,900
490,0.4,3,6,5,62.8,59.0,707
491,0.7,3,4,8,60.8,57.0,2931
492,1.43,1,2,7,50.8,60.0,6727
493,0.58,5,7,4,61.2,57.0,1436
494,0.81,4,4,4,59.0,57.0,2274
495,0.4,5,5,5,62.1,57.0,882
496,0.55,5,6,6,61.4,56.0,1667
497,1.16,3,3,4,61.8,58.0,4785
498,1.04,4,3,4,62.4,58.0,3611
499,0.71,4,4,5,58.9,62.0,2181
500,0.91,3,5,6,60.8,57.0,4606
501,0.3,5,5,7,61.7,56.0,570
502,0.7,1,4,5,61.6,66.0,1995
503,0.7,3,4,4,60.6,58.0,2057
504,1.01,3,3,4,63.9,56.0,4023
505,1.5,4,7,3,61.7,62.0,6300
506,0.52,5,6,6,61.5,56.0,1767
507,0.36,5,7,4,62.3,57.0,689
508,1.1,3,5,6,61.92092004381161,59.0,6708
509,1.01,3,2,4,63.5,57.0,4244
510,0.3,4,4,5,62.6,57.0,574
511,0.38,3,5,4,61.389857369255154,61.0,600
512,0.3,5,5,6,62.0,54.0,605
513,1.53,5,2,6,61.7,57.0,9189
514,1.52,4,5,6,59.4,55.0,14388
515,1.01,1,7,8,65.4,57.0,8716
516,0.45,2,5,7,58.6,62.2,1144
517,0.32,5,4,9,60.3,58.0,779
518,0.26,5,6,8,62.2,56.0,599
519,0.31,3,5,6,63.4,56.0,802
520,0.3,5,3,9,61.3,57.0,665
521,0.42,2,6,5,63.6,61.0,945
522,1.04,5,5,5,59.9,56.0,4403
523,0.56,5,5,6,61.0,55.0,1708
524,1.05,5,4,6,61.6,56.0,6837
525,0.9,3,4,7,62.3,60.0,4540
526,1.09,4,3,7,60.2,59.0,5860
527,1.0,4,3,6,61.3,61.0,5096
528,1.22,4,6,4,60.5,60.0,4974
529,1.12,5,4,5,62.0,55.0,5551
530,0.73,5,5,7,61.2,57.0,3797
531,0.9,3,7,5,62.7,56.0,4381
532,0.71,5,4,8,60.7,57.0,2843
533,0.32,2,6,7,59.5,64.0,756
534,0.39,5,5,6,60.0,57.0,1053
535,1.22,4,2,6,60.3,59.0,6217
536,1.01,3,2,5,60.9,63.0,2323
537,1.5,2,6,4,61.5,65.0,6300
538,1.22,4,6,5,62.3,59.0,7395
539,0.57,5,6,5,62.2,57.0,1613
540,1.06,4,6,6,61.3,58.0,7408
541,0.3,5,5,10,62.3,55.0,886
542,0.38,3,7,5,58.9,61.0,733
543,0.5,3,2,5,62.8,60.0,1054
544,0.5,5,3,4,62.4,55.0,964
545,1.12,2,5,6,63.8,57.0,6925
546,1.59,4,3,8,63.0,58.0,12409
547,0.35,5,5,5,62.4,55.0,748
548,0.59,4,3,5,62.9,60.0,1265
549,0.52,5,4,7,61.2,56.0,1803
550,0.62,5,7,6,61.2,56.0,2243
551,1.04,3,4,6,61.9,57.0,6177
552,2.16,4,1,9,61.5,58.0,17891
553,0.41,5,6,5,62.7,57.0,755
554,1.61,5,2,6,62.5,57.0,10098
555,0.35,5,6,4,61.4,56.0,630
556,1.25,4,5,6,61.5,60.0,8840
557,1.25,5,4,8,62.2,55.0,10983
558,0.7,3,5,7,62.4,56.0,2604
559,1.06,4,2,4,61.5,57.0,2968
560,0.91,5,1,7,61.9,56.0,3863
561,0.9,5,2,4,62.0,56.0,2948
562,0.96,2,3,4,56.7,62.0,3611
563,0.8,5,3,4,62.4,57.0,2122
564,1.01,3,4,10,63.0,60.0,7974
565,1.51,2,1,6,64.0,58.0,6936
566,2.03,4,7,4,61.7,58.0,13229
567,1.21,4,5,5,61.1,61.0,5720
568,0.35,3,3,5,63.3,54.0,647
569,1.0,3,6,7,63.0,58.0,7676
570,0.52,5,6,6,61.2,56.0,1689
571,0.39,4,7,6,61.27489035087719,59.0,1024
572,0.31,5,4,9,61.8,54.0,789
573,1.39,4,3,5,62.7,58.0,7986
574,0.36,4,2,10,59.9,59.0,758
575,1.23,5,3,5,62.3,57.0,5938
576,0.42,5,4,7,61.2,54.0,921
577,0.42,4,2,5,62.6,58.0,626
578,1.5,2,3,3,64.0,56.0,4022
579,0.3,5,7,5,62.1,56.0,552
580,1.14,5,4,8,61.0,56.0,9013
581,0.39,4,7,7,61.7,59.0,1123
582,0.31,2,4,7,63.8,57.0,625
583,0.38,5,7,8,61.5,57.0,1257
584,0.42,5,3,5,61.7,55.0,885
585,0.35,3,4,6,60.2,60.0,658
586,0.3,4,4,7,62.3,59.0,776
587,0.52,4,3,5,62.6,55.0,1219
588,0.5,3,1,7,61.4,57.8,1034
589,0.72,5,4,8,61.0,56.0,3295
590,1.5,4,3,4,60.8,58.0,8148
591,1.04,3,7,5,63.4,55.0,5557
592,0.53,5,3,9,61.3,56.0,1781
593,0.4,3,7,7,62.9,55.0,1004
594,0.74,4,7,5,60.6,60.0,2655
595,1.3,5,4,7,62.4,56.0,6928
596,0.7,5,1,5,62.6,56.0,1937
597,0.9,1,2,8,67.0,56.0,3074
598,0.7,5,2,9,62.3,55.0,2536
599,0.59,3,4,5,63.0,57.0,1412
600,0.35,5,5,8,60.8,55.0,872
601,0.3,5,6,6,62.6,54.0,844
602,0.7,3,7,5,62.1,56.0,2686
603,1.01,5,1,6,62.3,55.0,4425
604,1.0,3,7,4,63.5,59.0,4295
605,0.53,5,4,8,60.4,56.0,1948
606,0.54,5,7,7,61.4,57.0,2039
607,0.42,3,4,7,59.4,59.0,921
608,1.52,2,4,5,64.4,59.0,9368
609,2.04,4,5,4,60.2,58.0,18066
610,1.05,1,5,4,66.0,60.0,3615
